City,Banana Price
"New York, NY",2.35
"Los Angeles, CA",2.46
"Chicago, IL",1.82
"Houston, TX",1.37
"Phoenix, AZ",1.44
"Philadelphia, PA",2.23
"San Antonio, TX",1.58
"San Diego, CA",1.68
"Dallas, TX",1.55
"San Jose, CA",2.31
"Austin, TX",1.55
"Jacksonville, FL",1.5
"Fort Worth, TX",2.1
"Columbus, OH",1.32
"San Francisco, CA",2.9
"Charlotte, NC",1.52
"Indianapolis, IN",1.27
"Seattle, WA",2.62
"Denver, CO",1.79
"Washington, DC",1.87
"Boston, MA",2.11
"El Paso, TX",1.34
"Nashville, TN",1.81
"Detroit, MI",1.2
"Oklahoma City, OK",1.59
"Portland, OR",1.98
"Las Vegas, NV",1.54
"Memphis, TN",1.61
"Louisville, KY",1.55
"Baltimore, MD",1.56
"Milwaukee, WI",1.2
"Albuquerque, NM",1.39
"Tucson, AZ",1.62
"Fresno, CA",1.97
"Mesa, AZ",1.62
"Sacramento, CA",2.0
"Atlanta, GA",1.83
"Kansas City, MO",1.61
"Colorado Springs, CO",1.61
"Miami, FL",1.7
"Raleigh, NC",1.39
"Omaha, NE",2.2
"Long Beach, CA",1.74
"Virginia Beach, VA",1.46
"Oakland, CA",2.82
"Minneapolis, MN",1.91
"Tulsa, OK",1.76
"Arlington, VA",1.87
"New Orleans, LA",1.67
"Wichita, KS",1.67
"Cleveland, OH",1.51
"Tampa, FL",1.75
"Bakersfield, CA",1.63
"Aurora, IL",1.27
"Honolulu, HI",4.0
"Anaheim, CA",2.02
"Santa Ana, CA",1.88
"Corpus Christi, TX",1.55
"Riverside, CA",1.92
"Saint Louis, MO",1.72
"Lexington, KY",1.27
"Stockton, CA",1.43
"Pittsburgh, PA",1.4
"Saint Paul, MN",1.18
"Cincinnati, OH",1.45
"Anchorage, AK",1.96
"Henderson, NV",1.67
"Greensboro, NC",2.24
"Plano, TX",1.55
"Newark, NJ",1.44
"Lincoln, NE",1.5
"Toledo, OH",1.65
"Chula Vista, CA",1.9
"Orlando, FL",1.98
"Irvine, CA",1.88
"Fort Wayne, IN",1.23
"Jersey City, NJ",1.64
"Durham, NC",1.17
"Chandler, AZ",1.51
"Madison, WI",1.36
"Laredo, TX",1.58
"Buffalo, NY",1.59
"Lubbock, TX",1.46
"Chesapeake, VA",1.07
"Scottsdale, AZ",1.44
"Glendale, CA",1.68
"Reno, NV",1.88
"Norfolk, VA",0.66
"Winston-Salem, NC",1.39
"Gilbert, AZ",1.62
"Chattanooga, TN",1.59
"Hialeah, FL",1.59
"Garland, TX",1.26
"Fremont, CA",2.31
"Richmond, VA",1.17
"Boise, ID",1.64
"San Bernardino, CA",1.48
"Spokane, WA",1.68
"Des Moines, IA",1.59
"Modesto, CA",2.9
"Tacoma, WA",1.72
"Columbus, OH",1.32
"Montgomery, AL",1.39
"Akron, OH",1.6
"Shreveport, LA",1.45
"Little Rock, AR",1.45
"Augusta, GA",1.83
"Glendale, CA",1.68
"Huntington Beach, CA",1.88
"Overland Park, KS",1.27
"Columbia, SC",1.79
"Naperville, IL",1.27
"McKinney, TX",1.59
"Dayton, OH",1.55
"Fort Collins, CO",1.53
"Bellevue, WA",2.25
"O'Fallon, MO",1.6
"Round Rock, TX",1.55
"Waterbury, CT",1.64
"Newport News, VA",1.05
"Lakeland, FL",1.61
"Killeen, TX",0.98
"Tempe, AZ",1.44
"Chico, CA",2.27
"Colton, CA",1.74
"Rockford, IL",1.04
"Surprise, AZ",1.62
"Knoxville, TN",1.42
"Sugar Land, TX",1.4
"Huntington, WV",1.55
"Macon, GA",1.53
"Vallejo, CA",2.82
"Waco, TX",1.15
"Fargo, ND",2.79
"Independence, KS",1.1
"Clovis, NM",1.27
"Lynn, MA",1.52
"Lafayette, IN",1.86
"Odessa, TX",2.98
"South Bend, IN",1.2
"League City, TX",1.31
"Denton, TX",1.3
"Pearland, TX",3.31
"Shreveport, LA",1.45
