City,Bottle of Wine Price
"New York, NY",20.0
"Los Angeles, CA",15.0
"Chicago, IL",15.0
"Houston, TX",13.25
"Phoenix, AZ",15.0
"Philadelphia, PA",15.0
"San Antonio, TX",12.0
"San Diego, CA",15.0
"Dallas, TX",15.0
"San Jose, CA",15.0
"Austin, TX",15.0
"Jacksonville, FL",12.48
"Fort Worth, TX",13.0
"Columbus, OH",18.0
"San Francisco, CA",18.0
"Charlotte, NC",15.0
"Indianapolis, IN",12.0
"Seattle, WA",20.0
"Denver, CO",16.0
"Washington, DC",16.0
"Boston, MA",15.0
"El Paso, TX",10.0
"Nashville, TN",16.0
"Detroit, MI",14.99
"Oklahoma City, OK",10.75
"Portland, OR",15.99
"Las Vegas, NV",14.25
"Memphis, TN",14.5
"Louisville, KY",15.0
"Baltimore, MD",14.0
"Milwaukee, WI",15.0
"Albuquerque, NM",13.0
"Tucson, AZ",12.0
"Fresno, CA",15.0
"Mesa, AZ",12.0
"Sacramento, CA",17.0
"Atlanta, GA",15.0
"Kansas City, MO",14.0
"Colorado Springs, CO",14.5
"Miami, FL",15.0
"Raleigh, NC",15.0
"Omaha, NE",15.0
"Long Beach, CA",15.0
"Virginia Beach, VA",14.5
"Oakland, CA",15.0
"Minneapolis, MN",15.0
"Tulsa, OK",11.0
"Arlington, VA",16.0
"New Orleans, LA",17.0
"Wichita, KS",13.0
"Cleveland, OH",14.99
"Tampa, FL",15.0
"Bakersfield, CA",15.0
"Aurora, IL",12.0
"Honolulu, HI",16.0
"Anaheim, CA",15.0
"Santa Ana, CA",15.0
"Corpus Christi, TX",11.75
"Riverside, CA",9.0
"Saint Louis, MO",15.0
"Lexington, KY",13.0
"Stockton, CA",14.34
"Pittsburgh, PA",17.99
"Saint Paul, MN",14.0
"Cincinnati, OH",12.0
"Anchorage, AK",15.99
"Henderson, NV",15.99
"Greensboro, NC",12.5
"Plano, TX",15.0
"Newark, NJ",11.0
"Lincoln, NE",16.0
"Toledo, OH",10.5
"Chula Vista, CA",15.0
"Orlando, FL",15.0
"Irvine, CA",15.0
"Fort Wayne, IN",12.0
"Jersey City, NJ",15.0
"Durham, NC",14.0
"Chandler, AZ",12.0
"Madison, WI",12.5
"Laredo, TX",12.0
"Buffalo, NY",17.99
"Lubbock, TX",15.0
"Chesapeake, VA",10.0
"Scottsdale, AZ",12.0
"Glendale, CA",15.0
"Reno, NV",12.0
"Norfolk, VA",16.0
"Winston-Salem, NC",9.0
"Gilbert, AZ",12.0
"Chattanooga, TN",13.0
"Hialeah, FL",15.0
"Garland, TX",8.0
"Fremont, CA",15.0
"Richmond, VA",14.0
"Boise, ID",15.0
"San Bernardino, CA",18.5
"Spokane, WA",15.0
"Des Moines, IA",14.0
"Modesto, CA",15.0
"Tacoma, WA",16.0
"Columbus, OH",18.0
"Montgomery, AL",10.0
"Akron, OH",14.0
"Shreveport, LA",15.0
"Little Rock, AR",15.0
"Augusta, GA",8.99
"Glendale, CA",15.0
"Huntington Beach, CA",13.5
"Overland Park, KS",14.0
"Columbia, SC",12.5
"Naperville, IL",6.5
"McKinney, TX",10.75
"Dayton, OH",15.0
"Fort Collins, CO",14.5
"Bellevue, WA",20.0
"O'Fallon, MO",8.5
"Round Rock, TX",15.0
"Waterbury, CT",17.0
"Newport News, VA",15.0
"Lakeland, FL",11.0
"Killeen, TX",10.0
"Tempe, AZ",12.0
"Chico, CA",12.0
"Colton, CA",14.0
"Rockford, IL",15.0
"Surprise, AZ",12.0
"Knoxville, TN",15.0
"Sugar Land, TX",13.25
"Huntington, WV",15.0
"Macon, GA",12.0
"Vallejo, CA",10.0
"Waco, TX",13.25
"Fargo, ND",15.0
"Independence, KS",10.0
"Lynn, MA",15.0
"Lafayette, IN",12.99
"Odessa, TX",15.0
"South Bend, IN",13.0
"League City, TX",15.0
"Denton, TX",10.75
"Pearland, TX",10.0
"Shreveport, LA",15.0
