City,Chicken Fillets Price
"New York, NY",14.77
"Los Angeles, CA",16.22
"Chicago, IL",15.01
"Houston, TX",12.16
"Phoenix, AZ",10.97
"Philadelphia, PA",13.38
"San Antonio, TX",10.05
"San Diego, CA",12.6
"Dallas, TX",12.82
"San Jose, CA",16.47
"Austin, TX",10.19
"Jacksonville, FL",10.43
"Fort Worth, TX",14.23
"Columbus, OH",14.13
"San Francisco, CA",14.94
"Charlotte, NC",15.18
"Indianapolis, IN",11.12
"Seattle, WA",16.21
"Denver, CO",13.18
"Washington, DC",15.34
"Boston, MA",13.8
"El Paso, TX",12.4
"Nashville, TN",14.66
"Detroit, MI",11.96
"Oklahoma City, OK",10.94
"Portland, OR",12.8
"Las Vegas, NV",9.67
"Memphis, TN",10.18
"Louisville, KY",13.32
"Baltimore, MD",10.2
"Milwaukee, WI",12.21
"Albuquerque, NM",9.84
"Tucson, AZ",12.4
"Fresno, CA",8.83
"Mesa, AZ",12.4
"Sacramento, CA",16.44
"Atlanta, GA",14.69
"Kansas City, MO",10.09
"Colorado Springs, CO",13.4
"Miami, FL",14.2
"Raleigh, NC",10.4
"Omaha, NE",10.88
"Long Beach, CA",17.19
"Virginia Beach, VA",6.81
"Oakland, CA",14.88
"Minneapolis, MN",14.23
"Tulsa, OK",11.36
"Arlington, VA",15.05
"New Orleans, LA",12.27
"Wichita, KS",10.79
"Cleveland, OH",11.96
"Tampa, FL",12.05
"Bakersfield, CA",15.79
"Aurora, IL",11.12
"Honolulu, HI",16.47
"Anaheim, CA",11.9
"Santa Ana, CA",16.85
"Corpus Christi, TX",10.19
"Riverside, CA",9.47
"Saint Louis, MO",10.63
"Lexington, KY",11.85
"Stockton, CA",14.94
"Pittsburgh, PA",16.53
"Saint Paul, MN",11.68
"Cincinnati, OH",10.6
"Anchorage, AK",12.76
"Henderson, NV",9.34
"Greensboro, NC",8.6
"Plano, TX",12.82
"Newark, NJ",14.77
"Lincoln, NE",10.09
"Toledo, OH",10.41
"Chula Vista, CA",12.6
"Orlando, FL",11.7
"Irvine, CA",11.9
"Fort Wayne, IN",11.0
"Jersey City, NJ",12.95
"Durham, NC",13.31
"Chandler, AZ",10.86
"Madison, WI",13.05
"Laredo, TX",10.05
"Buffalo, NY",9.07
"Lubbock, TX",11.21
"Chesapeake, VA",8.08
"Scottsdale, AZ",11.06
"Glendale, CA",12.6
"Reno, NV",12.22
"Norfolk, VA",14.99
"Winston-Salem, NC",10.4
"Gilbert, AZ",10.63
"Chattanooga, TN",12.69
"Hialeah, FL",12.67
"Garland, TX",7.99
"Fremont, CA",11.92
"Richmond, VA",13.31
"Boise, ID",8.1
"San Bernardino, CA",13.23
"Spokane, WA",13.34
"Des Moines, IA",10.09
"Modesto, CA",14.7
"Tacoma, WA",16.18
"Columbus, OH",14.13
"Montgomery, AL",8.19
"Akron, OH",10.89
"Shreveport, LA",11.01
"Little Rock, AR",11.01
"Augusta, GA",9.9
"Glendale, CA",12.6
"Huntington Beach, CA",17.26
"Overland Park, KS",10.09
"Columbia, SC",14.07
"Naperville, IL",11.12
"McKinney, TX",10.94
"Dayton, OH",13.32
"Fort Collins, CO",8.6
"Bellevue, WA",15.37
"O'Fallon, MO",10.09
"Round Rock, TX",12.56
"Bismarck, ND",14.31
"Waterbury, CT",12.95
"Newport News, VA",10.4
"Lakeland, FL",15.43
"Killeen, TX",10.05
"Tempe, AZ",12.4
"Chico, CA",12.13
"Colton, CA",16.22
"Rockford, IL",12.21
"Surprise, AZ",12.4
"Knoxville, TN",8.76
"Sugar Land, TX",12.16
"Huntington, WV",13.19
"Macon, GA",8.8
"Vallejo, CA",11.28
"Waco, TX",12.16
"Fargo, ND",14.88
"Independence, KS",
"Clovis, NM",
"Lynn, MA",8.8
"Lafayette, IN",11.01
"Odessa, TX",11.79
"South Bend, IN",10.35
"League City, TX",10.19
"Denton, TX",6.61
"Pearland, TX",11.02
"Shreveport, LA",11.01
