City,Lettuce Price
"New York, NY",3.0
"Los Angeles, CA",2.12
"Chicago, IL",2.44
"Houston, TX",1.89
"Phoenix, AZ",1.88
"Philadelphia, PA",3.01
"San Antonio, TX",1.82
"San Diego, CA",2.29
"Dallas, TX",1.87
"San Jose, CA",2.92
"Austin, TX",1.98
"Jacksonville, FL",3.01
"Fort Worth, TX",2.27
"Columbus, OH",2.12
"San Francisco, CA",3.0
"Charlotte, NC",1.79
"Indianapolis, IN",1.96
"Seattle, WA",2.64
"Denver, CO",2.02
"Washington, DC",2.54
"Boston, MA",2.91
"El Paso, TX",2.51
"Nashville, TN",2.37
"Detroit, MI",2.6
"Oklahoma City, OK",2.06
"Portland, OR",2.22
"Las Vegas, NV",1.76
"Memphis, TN",2.3
"Louisville, KY",1.8
"Baltimore, MD",2.48
"Milwaukee, WI",2.37
"Albuquerque, NM",2.05
"Tucson, AZ",1.96
"Fresno, CA",1.96
"Mesa, AZ",1.88
"Sacramento, CA",2.59
"Atlanta, GA",2.32
"Kansas City, MO",2.21
"Colorado Springs, CO",2.16
"Miami, FL",3.0
"Raleigh, NC",2.18
"Omaha, NE",2.02
"Long Beach, CA",2.07
"Virginia Beach, VA",1.72
"Oakland, CA",3.0
"Minneapolis, MN",2.35
"Tulsa, OK",1.82
"Arlington, VA",2.54
"New Orleans, LA",2.1
"Wichita, KS",1.96
"Cleveland, OH",2.36
"Tampa, FL",2.49
"Bakersfield, CA",2.43
"Aurora, IL",1.83
"Honolulu, HI",4.66
"Anaheim, CA",2.86
"Santa Ana, CA",2.5
"Corpus Christi, TX",1.88
"Riverside, CA",1.42
"Saint Louis, MO",2.21
"Lexington, KY",1.99
"Stockton, CA",2.62
"Pittsburgh, PA",2.76
"Saint Paul, MN",2.0
"Cincinnati, OH",1.79
"Anchorage, AK",2.75
"Henderson, NV",1.83
"Greensboro, NC",1.85
"Plano, TX",1.98
"Newark, NJ",3.21
"Lincoln, NE",1.81
"Toledo, OH",2.11
"Chula Vista, CA",2.12
"Orlando, FL",2.32
"Irvine, CA",2.12
"Fort Wayne, IN",1.99
"Jersey City, NJ",2.42
"Durham, NC",1.91
"Chandler, AZ",1.29
"Madison, WI",2.06
"Laredo, TX",1.82
"Buffalo, NY",2.43
"Lubbock, TX",2.14
"Chesapeake, VA",1.54
"Scottsdale, AZ",1.96
"Glendale, CA",2.12
"Reno, NV",2.47
"Norfolk, VA",1.75
"Winston-Salem, NC",2.18
"Gilbert, AZ",1.88
"Chattanooga, TN",2.33
"Hialeah, FL",3.0
"Garland, TX",1.38
"Fremont, CA",2.92
"Richmond, VA",1.91
"Boise, ID",1.96
"San Bernardino, CA",4.0
"Spokane, WA",1.84
"Des Moines, IA",2.21
"Modesto, CA",3.0
"Tacoma, WA",1.97
"Columbus, OH",2.12
"Montgomery, AL",1.9
"Akron, OH",2.15
"Shreveport, LA",1.89
"Little Rock, AR",1.89
"Augusta, GA",1.93
"Glendale, CA",2.12
"Huntington Beach, CA",2.12
"Overland Park, KS",1.81
"Columbia, SC",1.85
"Naperville, IL",1.65
"McKinney, TX",2.06
"Dayton, OH",1.8
"Fort Collins, CO",2.16
"Bellevue, WA",2.5
"O'Fallon, MO",1.7
"Round Rock, TX",1.87
"Bismarck, ND",2.15
"Waterbury, CT",2.42
"Newport News, VA",2.03
"Lakeland, FL",2.12
"Killeen, TX",1.61
"Tempe, AZ",1.96
"Chico, CA",2.16
"Colton, CA",2.0
"Rockford, IL",1.5
"Surprise, AZ",1.88
"Knoxville, TN",2.36
"Sugar Land, TX",1.82
"Huntington, WV",1.8
"Macon, GA",1.92
"Vallejo, CA",3.0
"Waco, TX",1.62
"Fargo, ND",1.99
"Independence, KS",3.0
"Clovis, NM",1.84
"Lynn, MA",1.39
"Lafayette, IN",1.66
"Odessa, TX",2.5
"South Bend, IN",1.46
"League City, TX",1.69
"Denton, TX",2.06
"Pearland, TX",2.0
"Shreveport, LA",1.89
