City,Loaf of Fresh White Bread Price
"New York, NY",4.97
"Los Angeles, CA",4.84
"Chicago, IL",4.12
"Houston, TX",3.03
"Phoenix, AZ",4.25
"Philadelphia, PA",4.23
"San Antonio, TX",3.01
"San Diego, CA",4.44
"Dallas, TX",3.6
"San Jose, CA",4.83
"Austin, TX",3.64
"Jacksonville, FL",3.82
"Fort Worth, TX",3.42
"Columbus, OH",2.89
"San Francisco, CA",5.01
"Charlotte, NC",3.87
"Indianapolis, IN",2.95
"Seattle, WA",4.81
"Denver, CO",4.12
"Washington, DC",4.13
"Boston, MA",4.07
"El Paso, TX",3.37
"Nashville, TN",4.16
"Detroit, MI",2.94
"Oklahoma City, OK",2.78
"Portland, OR",4.17
"Las Vegas, NV",3.97
"Memphis, TN",2.76
"Louisville, KY",2.7
"Baltimore, MD",3.94
"Milwaukee, WI",3.46
"Albuquerque, NM",2.84
"Tucson, AZ",3.4
"Fresno, CA",2.81
"Mesa, AZ",4.22
"Sacramento, CA",4.34
"Atlanta, GA",4.02
"Kansas City, MO",3.57
"Colorado Springs, CO",3.9
"Miami, FL",3.97
"Raleigh, NC",4.06
"Omaha, NE",3.17
"Long Beach, CA",3.79
"Virginia Beach, VA",2.93
"Oakland, CA",5.01
"Minneapolis, MN",3.93
"Tulsa, OK",3.78
"Arlington, VA",4.18
"New Orleans, LA",3.98
"Wichita, KS",3.89
"Cleveland, OH",3.33
"Tampa, FL",3.97
"Bakersfield, CA",3.67
"Aurora, IL",2.95
"Honolulu, HI",6.66
"Anaheim, CA",4.59
"Santa Ana, CA",4.59
"Corpus Christi, TX",3.03
"Riverside, CA",4.02
"Saint Louis, MO",2.77
"Lexington, KY",2.9
"Stockton, CA",4.63
"Pittsburgh, PA",4.04
"Saint Paul, MN",3.93
"Cincinnati, OH",3.16
"Anchorage, AK",4.28
"Henderson, NV",3.85
"Greensboro, NC",4.06
"Plano, TX",3.64
"Newark, NJ",4.4
"Lincoln, NE",3.13
"Toledo, OH",2.73
"Chula Vista, CA",4.44
"Orlando, FL",3.67
"Irvine, CA",4.59
"Fort Wayne, IN",2.87
"Jersey City, NJ",3.97
"Durham, NC",3.4
"Chandler, AZ",3.4
"Madison, WI",4.12
"Laredo, TX",1.96
"Buffalo, NY",3.67
"Lubbock, TX",3.73
"Chesapeake, VA",3.99
"Scottsdale, AZ",3.58
"Glendale, CA",4.44
"Reno, NV",4.14
"Norfolk, VA",4.18
"Winston-Salem, NC",4.06
"Gilbert, AZ",3.4
"Chattanooga, TN",3.44
"Hialeah, FL",3.97
"Garland, TX",2.78
"Fremont, CA",4.82
"Richmond, VA",3.4
"Boise, ID",3.51
"San Bernardino, CA",4.59
"Spokane, WA",3.03
"Des Moines, IA",2.5
"Modesto, CA",3.88
"Tacoma, WA",4.31
"Columbus, OH",2.89
"Montgomery, AL",1.57
"Akron, OH",2.72
"Shreveport, LA",3.44
"Little Rock, AR",3.44
"Augusta, GA",1.98
"Glendale, CA",4.44
"Huntington Beach, CA",4.96
"Overland Park, KS",2.91
"Columbia, SC",2.65
"Naperville, IL",2.95
"McKinney, TX",2.78
"Dayton, OH",2.7
"Fort Collins, CO",3.09
"Bellevue, WA",4.17
"O'Fallon, MO",3.31
"Round Rock, TX",3.6
"Bismarck, ND",2.66
"Waterbury, CT",3.97
"Newport News, VA",3.58
"Lakeland, FL",4.2
"Killeen, TX",1.6
"Tempe, AZ",4.25
"Chico, CA",3.03
"Colton, CA",3.31
"Rockford, IL",2.19
"Surprise, AZ",3.75
"Knoxville, TN",3.54
"Sugar Land, TX",3.01
"Huntington, WV",2.7
"Macon, GA",2.65
"Vallejo, CA",4.27
"Waco, TX",2.79
"Fargo, ND",2.91
"Independence, KS",2.2
"Lynn, MA",4.07
"Lafayette, IN",2.75
"Odessa, TX",3.54
"South Bend, IN",2.69
"League City, TX",3.24
"Denton, TX",2.78
"Pearland, TX",3.31
"Shreveport, LA",3.44
