City,Onion Price
"New York, NY",3.67
"Los Angeles, CA",2.66
"Chicago, IL",2.65
"Houston, TX",2.43
"Phoenix, AZ",2.46
"Philadelphia, PA",3.41
"San Antonio, TX",2.58
"San Diego, CA",2.32
"Dallas, TX",3.23
"San Jose, CA",4.5
"Austin, TX",2.79
"Jacksonville, FL",3.21
"Fort Worth, TX",2.43
"Columbus, OH",3.02
"San Francisco, CA",4.12
"Charlotte, NC",2.96
"Indianapolis, IN",2.63
"Seattle, WA",3.47
"Denver, CO",2.59
"Washington, DC",3.86
"Boston, MA",3.66
"El Paso, TX",4.29
"Nashville, TN",3.79
"Detroit, MI",2.48
"Oklahoma City, OK",2.69
"Portland, OR",2.35
"Las Vegas, NV",2.32
"Memphis, TN",3.59
"Louisville, KY",2.58
"Baltimore, MD",2.3
"Milwaukee, WI",2.19
"Albuquerque, NM",2.6
"Tucson, AZ",2.43
"Fresno, CA",2.09
"Mesa, AZ",2.46
"Sacramento, CA",4.75
"Atlanta, GA",3.72
"Kansas City, MO",3.85
"Colorado Springs, CO",2.44
"Miami, FL",3.28
"Raleigh, NC",3.64
"Omaha, NE",2.77
"Long Beach, CA",3.05
"Virginia Beach, VA",3.17
"Oakland, CA",3.41
"Minneapolis, MN",3.48
"Tulsa, OK",2.94
"Arlington, VA",3.41
"New Orleans, LA",3.14
"Wichita, KS",2.26
"Cleveland, OH",4.91
"Tampa, FL",4.12
"Bakersfield, CA",3.05
"Aurora, IL",2.63
"Honolulu, HI",4.49
"Anaheim, CA",3.01
"Santa Ana, CA",3.01
"Corpus Christi, TX",2.23
"Riverside, CA",3.22
"Saint Louis, MO",3.42
"Lexington, KY",3.17
"Stockton, CA",4.12
"Pittsburgh, PA",3.85
"Saint Paul, MN",3.48
"Cincinnati, OH",3.0
"Anchorage, AK",2.96
"Henderson, NV",1.56
"Greensboro, NC",3.67
"Plano, TX",3.23
"Newark, NJ",3.49
"Lincoln, NE",3.15
"Toledo, OH",2.0
"Chula Vista, CA",2.32
"Orlando, FL",2.85
"Irvine, CA",3.01
"Fort Wayne, IN",3.02
"Jersey City, NJ",3.66
"Durham, NC",2.73
"Chandler, AZ",2.43
"Madison, WI",2.95
"Laredo, TX",2.19
"Buffalo, NY",4.04
"Lubbock, TX",2.71
"Chesapeake, VA",2.75
"Scottsdale, AZ",2.43
"Glendale, CA",2.32
"Reno, NV",3.83
"Norfolk, VA",3.3
"Winston-Salem, NC",3.64
"Gilbert, AZ",1.31
"Chattanooga, TN",3.79
"Hialeah, FL",3.28
"Garland, TX",1.71
"Fremont, CA",3.69
"Richmond, VA",2.73
"Boise, ID",2.2
"San Bernardino, CA",5.37
"Spokane, WA",2.29
"Des Moines, IA",3.01
"Modesto, CA",4.12
"Tacoma, WA",2.81
"Columbus, OH",3.02
"Montgomery, AL",2.19
"Akron, OH",2.94
"Shreveport, LA",2.29
"Little Rock, AR",2.29
"Augusta, GA",2.77
"Glendale, CA",2.32
"Huntington Beach, CA",3.01
"Overland Park, KS",3.15
"Columbia, SC",4.65
"Naperville, IL",2.43
"McKinney, TX",2.69
"Dayton, OH",2.58
"Fort Collins, CO",1.92
"Bellevue, WA",3.47
"O'Fallon, MO",2.74
"Round Rock, TX",2.79
"Bismarck, ND",3.31
"Waterbury, CT",4.04
"Newport News, VA",3.22
"Lakeland, FL",3.34
"Killeen, TX",2.58
"Tempe, AZ",2.46
"Chico, CA",3.41
"Colton, CA",1.32
"Rockford, IL",2.19
"Surprise, AZ",2.43
"Knoxville, TN",4.66
"Sugar Land, TX",2.46
"Huntington, WV",2.2
"Macon, GA",3.12
"Vallejo, CA",3.69
"Waco, TX",2.43
"Fargo, ND",3.64
"Independence, KS",
"Clovis, NM",2.91
"Lynn, MA",2.84
"Lafayette, IN",3.15
"Odessa, TX",3.27
"South Bend, IN",1.59
"League City, TX",2.39
"Denton, TX",2.18
"Pearland, TX",1.32
"Shreveport, LA",2.29
