City,Water Price
"New York, NY",2.48
"Los Angeles, CA",2.3
"Chicago, IL",2.49
"Houston, TX",2.12
"Phoenix, AZ",2.14
"Philadelphia, PA",1.89
"San Antonio, TX",1.9
"San Diego, CA",2.47
"Dallas, TX",2.28
"San Jose, CA",2.37
"Austin, TX",2.12
"Jacksonville, FL",2.0
"Fort Worth, TX",1.88
"Columbus, OH",2.14
"San Francisco, CA",2.26
"Charlotte, NC",2.0
"Indianapolis, IN",2.31
"Seattle, WA",2.4
"Denver, CO",2.31
"Washington, DC",2.49
"Boston, MA",2.44
"El Paso, TX",1.95
"Nashville, TN",2.37
"Detroit, MI",1.9
"Oklahoma City, OK",1.96
"Portland, OR",1.86
"Las Vegas, NV",2.29
"Memphis, TN",2.0
"Louisville, KY",1.8
"Baltimore, MD",2.14
"Milwaukee, WI",2.16
"Albuquerque, NM",1.64
"Tucson, AZ",2.23
"Fresno, CA",2.13
"Mesa, AZ",2.14
"Sacramento, CA",2.04
"Atlanta, GA",2.32
"Kansas City, MO",1.95
"Colorado Springs, CO",2.43
"Miami, FL",2.64
"Raleigh, NC",1.95
"Omaha, NE",1.91
"Long Beach, CA",2.25
"Virginia Beach, VA",2.58
"Oakland, CA",2.14
"Minneapolis, MN",2.27
"Tulsa, OK",1.75
"Arlington, VA",2.51
"New Orleans, LA",2.23
"Wichita, KS",1.72
"Cleveland, OH",2.04
"Tampa, FL",2.12
"Bakersfield, CA",2.0
"Aurora, IL",2.0
"Honolulu, HI",2.62
"Anaheim, CA",2.2
"Santa Ana, CA",2.2
"Corpus Christi, TX",1.99
"Riverside, CA",2.0
"Saint Louis, MO",1.85
"Lexington, KY",2.12
"Stockton, CA",2.26
"Pittsburgh, PA",2.1
"Saint Paul, MN",2.27
"Cincinnati, OH",1.97
"Anchorage, AK",2.33
"Henderson, NV",1.9
"Greensboro, NC",1.7
"Plano, TX",2.12
"Newark, NJ",1.94
"Lincoln, NE",1.66
"Toledo, OH",1.31
"Chula Vista, CA",2.3
"Orlando, FL",2.36
"Irvine, CA",2.2
"Fort Wayne, IN",2.14
"Jersey City, NJ",1.72
"Durham, NC",1.75
"Chandler, AZ",1.63
"Madison, WI",2.23
"Laredo, TX",1.9
"Buffalo, NY",2.08
"Lubbock, TX",1.6
"Chesapeake, VA",2.08
"Scottsdale, AZ",2.14
"Glendale, CA",2.3
"Reno, NV",1.9
"Norfolk, VA",2.5
"Winston-Salem, NC",1.79
"Gilbert, AZ",1.5
"Chattanooga, TN",1.92
"Hialeah, FL",2.25
"Garland, TX",1.96
"Fremont, CA",2.37
"Richmond, VA",2.03
"Boise, ID",2.71
"San Bernardino, CA",2.38
"Spokane, WA",2.25
"Des Moines, IA",1.95
"Modesto, CA",1.62
"Tacoma, WA",2.25
"Columbus, OH",2.14
"Montgomery, AL",1.93
"Akron, OH",1.75
"Shreveport, LA",2.4
"Little Rock, AR",2.4
"Augusta, GA",1.92
"Glendale, CA",2.3
"Huntington Beach, CA",2.38
"Overland Park, KS",1.91
"Columbia, SC",1.83
"Naperville, IL",2.31
"McKinney, TX",1.88
"Dayton, OH",1.53
"Fort Collins, CO",2.43
"Bellevue, WA",2.4
"O'Fallon, MO",1.5
"Round Rock, TX",2.12
"Bismarck, ND",1.77
"Waterbury, CT",1.72
"Newport News, VA",1.95
"Lakeland, FL",2.06
"Killeen, TX",1.79
"Tempe, AZ",2.23
"Chico, CA",2.14
"Colton, CA",2.0
"Rockford, IL",1.43
"Surprise, AZ",2.14
"Knoxville, TN",2.19
"Sugar Land, TX",1.9
"Huntington, WV",1.5
"Macon, GA",1.83
"Vallejo, CA",2.83
"Waco, TX",1.5
"Fargo, ND",2.0
"Independence, KS",1.5
"Clovis, NM",
"Lynn, MA",2.44
"Lafayette, IN",1.53
"Odessa, TX",2.75
"South Bend, IN",1.55
"League City, TX",2.0
"Denton, TX",1.7
"Pearland, TX",3.5
"Shreveport, LA",2.4
